Subpopulation,XCOORD,YCOORD,Subpop_mortperc,ID,sex,age,infection,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb
1,44.19741878,-113.7022276,0,add1970_0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,44.19741878,-113.7022276,0,add1970_1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,44.19741878,-113.7022276,0,add1970_2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,44.19741878,-113.7022276,0,add1970_3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,44.19741878,-113.7022276,0,add1970_4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,45.26624,-116.677525,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
3,44.25409292,-112.7769403,0,add1970_5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,44.25409292,-112.7769403,0,add1970_6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,44.25409292,-112.7769403,0,add1970_7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,44.25409292,-112.7769403,0,add1970_8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,44.19741878,-113.7022276,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
